procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1047800  50564 568328    0    0     0    12  121  137  0  0 100  0  0  0
 1  0      0 1047800  50564 568332    0    0     0     0   64   67  0  0 100  0  0  0
 0  0      0 1047800  50564 568332    0    0     0     0   40   55  0  0 100  0  0  0
 1  0      0 1047800  50564 568332    0    0     0     0   36   49  0  0 100  0  0  0
 1  0      0 1047800  50564 568332    0    0     0     0   84   96  0  0 100  0  0  0
 0  0      0 1047800  50572 568332    0    0     0    16  125  152  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1047800  50572 568332    0    0     0     0   39   48  0  0 100  0  0  0
 1  0      0 1047800  50572 568332    0    0     0     0   39   55  0  0 100  0  0  0
 1  0      0 1047800  50572 568332    0    0     0     0   40   55  0  0 100  0  0  0
 1  0      0 1047800  50572 568332    0    0     0     0   90  102  0  0 100  0  0  0
 1  0      0 1047800  50580 568324    0    0     0    20   73  105  0  0 100  0  0  0
 1  0      0 1047800  50580 568332    0    0     0     0   50   66  0  0 100  0  0  0
 1  0      0 1047800  50580 568332    0    0     0     0   81   98  0  0 100  0  0  0
 1  0      0 1047800  50580 568332    0    0     0     0   85   98  0  0 100  0  0  0
 1  0      0 1047800  50580 568332    0    0     0     0   31   43  0  0 100  0  0  0
 1  0      0 1047800  50580 568332    0    0     0     0   83   88  0  0 100  0  0  0
 0  0      0 1047800  50588 568332    0    0     0    36   97  139  0  0 100  0  0  0
 1  0      0 1047800  50588 568332    0    0     0     0   59   68  0  0 100  0  0  0
 1  0      0 1047800  50588 568332    0    0     0     0   39   49  0  0 100  0  0  0
 1  0      0 1047800  50588 568332    0    0     0     0   85   94  0  0 100  0  0  0
 1  0      0 1047800  50588 568332    0    0     0     0   78   97  0  0 100  0  0  0
 1  0      0 1047800  50600 568332    0    0     0    32   80  104  0  0 100  0  0  0
 1  0      0 1047800  50600 568332    0    0     0     0   45   53  0  0 100  0  0  0
 1  0      0 1047800  50600 568332    0    0     0     0   85   89  0  0 100  0  0  0
 1  0      0 1047800  50600 568332    0    0     0     0   83   95  0  0 100  0  0  0
 1  0      0 1047800  50600 568332    0    0     0     0   52   60  0  0 100  0  0  0
 1  0      0 1047800  50608 568324    0    0     0    32  110  130  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1047800  50608 568332    0    0     0     0   53   65  0  0 100  0  0  0
 1  0      0 1047800  50608 568332    0    0     0     0   93  107  0  0 100  0  0  0
 1  0      0 1047800  50608 568332    0    0     0     0   97  103  0  0 100  0  0  0
 1  0      0 1047800  50608 568332    0    0     0     0   52   55  0  0 100  0  0  0
 1  0      0 1047800  50608 568332    0    0     0     0   45   59  0  0 100  0  0  0
 0  0      0 1047800  50616 568332    0    0     0    12   60   93  0  0 100  0  0  0
 1  0      0 1047800  50616 568332    0    0     0     0   53   61  0  0 100  0  0  0
 1  0      0 1047800  50616 568332    0    0     0     0   82   86  0  0 100  0  0  0
 1  0      0 1047800  50616 568332    0    0     0     0   81   88  0  0 100  0  0  0
 1  0      0 1047800  50616 568332    0    0     0     0   45   61  0  0 100  0  0  0
 1  0      0 1047800  50624 568324    0    0     0    12   85   97  0  0 100  0  0  0
 1  0      0 1047800  50624 568332    0    0     0     0   34   51  0  0 100  0  0  0
 1  0      0 1047800  50624 568332    0    0     0     0  123  137  0  0 100  0  0  0
 0  0      0 1047800  50624 568332    0    0     0     0  135  145  0  0 100  0  0  0
 1  0      0 1047800  50624 568332    0    0     0     0   44   46  0  0 100  0  0  0
 1  0      0 1047800  50632 568332    0    0     0    16  120  151  0  0 100  0  0  0
 1  0      0 1046980  50632 568336    0    0     0     0  243  168  0  1 99  0  0  0
 1  0      0 1046980  50632 568340    0    0     0     0   78  102  0  0 100  0  0  0
 1  0      0 1046756  50632 568340    0    0     0     0  683  653  1  1 98  0  0  0
 1  0      0 1046756  50632 568340    0    0     0     0   45   50  0  0 100  0  0  0
 1  0      0 1046756  50632 568340    0    0     0    24   70   94  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1022816  50644 568340    0    0     0   196  443  329  3  2 95  1  0  0
 1  0      0 1020940  50644 568352    0    0     0     0 1613  817 16  7 77  0  0  0
 1  0      0 1021344  50644 568348    0    0     0     4 2028  961 16  8 76  0  0  0
 1  0      0 1023704  50644 568348    0    0     0     0 1589  560 17  9 75  0  0  0
 1  0      0 1015892  50644 568348    0    0     0     0  711  324  7  4 90  0  0  0
 0  0      0 1016012  50652 568348    0    0     0   112  143  151  0  0 100  0  0  0
 1  0      0 1017472  50652 568348    0    0     0     8  143  153  0  0 100  0  0  0
 0  0      0 1018588  50652 568348    0    0     0     0   74   94  0  0 100  0  0  0
 0  0      0 1021724  50652 568348    0    0     0     4  109  122  0  0 100  0  0  0
 1  0      0 1021724  50652 568348    0    0     0     0   62   72  0  0 100  0  0  0
 1  0      0 1026252  50660 568348    0    0     0    12  104  122  0  0 100  0  0  0
 1  0      0 1034048  50660 568348    0    0     0   168  183  232  0  0 100  0  0  0
 1  0      0 1034048  50660 568348    0    0     0     0   54   69  0  0 100  0  0  0
 1  0      0 1035460  50660 568348    0    0     0     0   46   60  0  0 100  0  0  0
 1  0      0 1035460  50660 568348    0    0     0     0   43   53  0  0 100  0  0  0
 0  0      0 1036692  50660 568348    0    0     0     0  140  144  0  0 100  0  0  0
 1  0      0 1036692  50668 568348    0    0     0    16   90  110  0  0 100  0  0  0
 1  0      0 1037540  50668 568348    0    0     0     0   89  104  0  0 100  0  0  0
 1  0      0 1037540  50668 568348    0    0     0     0   42   52  0  0 100  0  0  0
 1  0      0 1037540  50668 568348    0    0     0     0   46   55  0  0 100  0  0  0
 1  0      0 1037540  50668 568348    0    0     0     0   48   63  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037540  50676 568348    0    0     0    16  126  150  0  0 100  0  0  0
 0  0      0 1037940  50676 568348    0    0     0     0  107  111  0  0 100  0  0  0
 1  0      0 1037944  50676 568348    0    0     0     0   52   53  0  0 100  0  0  0
 1  0      0 1037944  50676 568348    0    0     0     0  116  126  0  0 100  0  0  0
 1  0      0 1037944  50676 568348    0    0     0     0   79   96  0  0 100  0  0  0
 1  0      0 1037944  50684 568348    0    0     0    16  111  126  0  0 100  0  0  0
 0  0      0 1037944  50684 568348    0    0     0     0   38   56  0  0 100  0  0  0
 1  0      0 1037944  50684 568348    0    0     0     0  295  319  0  0 100  0  0  0
 0  0      0 1037944  50684 568348    0    0     0     0  211  231  0  0 100  0  0  0
 1  0      0 1037944  50684 568348    0    0     0    12  238  250  0  0 100  0  0  0
 1  0      0 1037944  50692 568348    0    0     0    28  154  182  0  0 100  0  0  0
 1  0      0 1037944  50692 568348    0    0     0     0  106  128  0  0 100  0  0  0
 1  0      0 1037944  50692 568348    0    0     0     4   80   90  0  0 100  0  0  0
 1  0      0 1037944  50692 568348    0    0     0     0   44   56  0  0 100  0  0  0
 1  0      0 1037944  50692 568348    0    0     0     0   47   59  0  0 100  0  0  0
 1  0      0 1037944  50700 568340    0    0     0    12   94  113  0  0 100  0  0  0
 1  0      0 1037944  50700 568340    0    0     0     0   91   90  0  0 100  0  0  0
 0  0      0 1037944  50700 568348    0    0     0     0   41   62  0  0 100  0  0  0
 1  0      0 1037944  50700 568352    0    0     0     0   37   52  0  0 100  0  0  0
 1  0      0 1037944  50700 568352    0    0     0     0   51   66  0  0 100  0  0  0
 1  0      0 1037944  50708 568352    0    0     0    16  121  143  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037944  50708 568352    0    0     0     0   58   67  0  0 100  0  0  0
 1  0      0 1037944  50708 568352    0    0     0     0  132  152  0  0 100  0  0  0
 1  0      0 1037944  50708 568352    0    0     0     0  240  273  0  0 100  0  0  0
 1  0      0 1037944  50708 568352    0    0     0     0  153  166  0  0 100  0  0  0
 1  0      0 1037944  50708 568352    0    0     0     0  131  147  0  0 100  0  0  0
 1  0      0 1037904  50716 568356    0    0     0    12  131  147  0  0 100  0  0  0
 1  0      0 1037904  50716 568356    0    0     0     0  126  145  0  0 100  0  0  0
 1  0      0 1037904  50716 568356    0    0     0     0   59   71  0  0 100  0  0  0
 0  0      0 1037904  50716 568356    0    0     0     0   49   59  0  0 100  0  0  0
 1  0      0 1037904  50716 568356    0    0     0     0  141  145  0  0 100  0  0  0
 1  0      0 1037904  50724 568348    0    0     0    12  129  148  0  0 100  0  0  0
 1  0      0 1037904  50724 568356    0    0     0     0   58   78  0  0 100  0  0  0
 1  0      0 1037904  50724 568356    0    0     0     0   94  112  0  0 100  0  0  0
 1  0      0 1037904  50724 568356    0    0     0     0  118  135  0  0 100  0  0  0
 1  0      0 1037904  50724 568356    0    0     0     0  113  141  0  0 100  0  0  0
 0  0      0 1037904  50732 568356    0    0     0    16  128  163  0  0 100  0  0  0
 1  0      0 1037904  50732 568356    0    0     0     0   70   80  0  0 100  0  0  0
 0  0      0 1037904  50732 568356    0    0     0     0  817 1091  0  0 99  0  0  0
 0  0      0 1037904  50732 568356    0    0     0     0 1092 1350  0  0 100  0  0  0
 0  0      0 1037904  50732 568356    0    0     0    24 1080 1400  0  0 100  0  0  0
 1  0      0 1037904  50732 568356    0    0     0     0  470  609  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1037904  50744 568356    0    0     0    32  301  359  0  0 100  0  0  0
 0  0      0 1037904  50744 568356    0    0     0     0 1071 1380  0  0 100  0  0  0
 0  0      0 1037904  50744 568356    0    0     0     0  966 1254  0  0 100  0  0  0
 0  0      0 1037904  50744 568356    0    0     0     0  863 1072  0  0 100  0  0  0
 1  0      0 1037904  50744 568356    0    0     0     0   92   95  0  0 100  0  0  0
 1  0      0 1037904  50752 568356    0    0     0    32   94  113  0  0 100  0  0  0
 1  0      0 1037904  50752 568356    0    0     0     0   54   64  0  0 100  0  0  0
 1  0      0 1037904  50752 568356    0    0     0     0   41   52  0  0 100  0  0  0
 1  0      0 1037904  50752 568356    0    0     0     0   88  101  0  0 100  0  0  0
 1  0      0 1037904  50752 568356    0    0     0     0   80  100  0  0 100  0  0  0
 1  0      0 1037904  50760 568356    0    0     0    12   99  120  0  0 100  0  0  0
 1  0      0 1037904  50760 568356    0    0     0     0   43   55  0  0 100  0  0  0
 1  0      0 1037904  50760 568356    0    0     0     0   41   58  0  0 100  0  0  0
 1  0      0 1037904  50760 568356    0    0     0     0   81  100  0  0 100  0  0  0
 1  0      0 1037904  50760 568356    0    0     0     0   82   97  0  0 100  0  0  0
 1  0      0 1037904  50760 568356    0    0     0     0   41   57  0  0 100  0  0  0
 1  0      0 1037904  50768 568348    0    0     0    12   94  119  0  0 100  0  0  0
 1  0      0 1037904  50768 568356    0    0     0     0  385  456  0  0 100  0  0  0
 0  0      0 1037904  50768 568356    0    0     0     0  117  148  0  0 100  0  0  0
 1  0      0 1037904  50768 568356    0    0     0     0   63   81  0  0 100  0  0  0
 1  0      0 1037904  50768 568356    0    0     0     0   74  109  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1037904  50776 568360    0    0     0    12  113  154  0  0 100  0  0  0
 1  0      0 1037904  50776 568360    0    0     0     0   50   58  0  0 100  0  0  0
 1  0      0 1037904  50776 568360    0    0     0     0   73   91  0  0 100  0  0  0
 0  0      0 1037904  50776 568360    0    0     0     0   73   87  0  0 100  0  0  0
 0  0      0 1037904  50776 568360    0    0     0     0   48   62  0  0 100  0  0  0
 1  0      0 1037904  50784 568352    0    0     0    12   70   89  0  0 100  0  0  0
 1  0      0 1037904  50784 568352    0    0     0     0  200  223  0  0 100  0  0  0
 1  0      0 1037904  50784 568360    0    0     0    24  208  237  0  0 100  0  0  0
 1  0      0 1037904  50784 568360    0    0     0     0  202  236  0  0 100  0  0  0
 1  0      0 1037904  50784 568360    0    0     0     0   58   67  0  0 100  0  0  0
 1  0      0 1037904  50784 568360    0    0     0     0   82  117  0  0 100  0  0  0
 1  0      0 1037904  50792 568360    0    0     0    32   99  126  0  0 100  0  0  0
 1  0      0 1037904  50792 568360    0    0     0     0   52   64  0  0 100  0  0  0
 1  0      0 1037904  50792 568360    0    0     0     0   56   64  0  0 100  0  0  0
 1  0      0 1037904  50792 568360    0    0     0     0   49   56  0  0 100  0  0  0
 1  0      0 1037904  50792 568360    0    0     0     0   40   47  0  0 100  0  0  0
 0  0      0 1037904  50800 568360    0    0     0    32  117  159  0  0 100  0  0  0
 1  0      0 1037904  50800 568360    0    0     0     0   61   65  0  0 100  0  0  0
 1  0      0 1037904  50800 568360    0    0     0     0   91  101  0  0 100  0  0  0
 1  0      0 1037904  50800 568360    0    0     0     0   49   59  0  0 100  0  0  0
 1  0      0 1037904  50800 568360    0    0     0     0   50   63  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037904  50808 568360    0    0     0    16   77   98  0  0 100  0  0  0
 1  0      0 1037904  50808 568360    0    0     0     0  165  186  0  0 100  0  0  0
 1  0      0 1037904  50808 568360    0    0     0     0   73   93  0  0 100  0  0  0
 1  0      0 1037904  50808 568360    0    0     0     0   52   70  0  0 100  0  0  0
 1  0      0 1037904  50808 568360    0    0     0     0   51   58  0  0 100  0  0  0
 1  0      0 1037904  50808 568360    0    0     0     0   70   85  0  0 100  0  0  0
 1  0      0 1037904  50816 568360    0    0     0    12   94  125  0  0 100  0  0  0
 1  0      0 1037904  50816 568360    0    0     0     0  120  152  0  0 100  0  0  0
 1  0      0 1037904  50816 568360    0    0     0     0   56   62  0  0 100  0  0  0
 1  0      0 1037904  50816 568360    0    0     0     0   84  105  0  0 100  0  0  0
 1  0      0 1037904  50816 568360    0    0     0     0  136  169  0  0 100  0  0  0
 1  0      0 1037904  50824 568360    0    0     0    12   71   93  0  0 100  0  0  0
 1  0      0 1037904  50824 568360    0    0     0     0   90  107  0  0 100  0  0  0
 1  0      0 1037904  50824 568360    0    0     0     0   48   59  0  0 100  0  0  0
 1  0      0 1037904  50824 568360    0    0     0     0   38   55  0  0 100  0  0  0
 1  0      0 1037904  50824 568360    0    0     0     0   50   60  0  0 100  0  0  0
 1  0      0 1037904  50832 568352    0    0     0    16  107  139  0  0 100  0  0  0
 0  0      0 1037904  50832 568360    0    0     0    12   86  101  0  0 100  0  0  0
 1  0      0 1037904  50832 568360    0    0     0     0   46   63  0  0 100  0  0  0
 1  0      0 1037904  50832 568360    0    0     0     0   51   63  0  0 100  0  0  0
 1  0      0 1037904  50832 568360    0    0     0     0   76   92  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 1037904  50840 568352    0    0     0    12   73   96  0  0 100  0  0  0
 0  0      0 1037904  50840 568364    0    0     0     0   56   80  0  0 100  0  0  0
 1  0      0 1037904  50840 568364    0    0     0     0   62   73  0  0 100  0  0  0
 1  0      0 1037904  50840 568364    0    0     0     0   56   67  0  0 100  0  0  0
 1  0      0 1037904  50840 568364    0    0     0     0   44   53  0  0 100  0  0  0
 1  0      0 1037904  50840 568364    0    0     0     0   48   63  0  0 100  0  0  0
 1  0      0 1037904  50848 568364    0    0     0    12   91  121  0  0 100  0  0  0
 1  0      0 1037904  50848 568364    0    0     0     0   53   61  0  0 100  0  0  0
 1  0      0 1037904  50848 568364    0    0     0     0   33   49  0  0 100  0  0  0
 1  0      0 1037904  50848 568364    0    0     0     0   42   54  0  0 100  0  0  0
 1  0      0 1037904  50848 568364    0    0     0     0   78   93  0  0 100  0  0  0
 1  0      0 1037904  50856 568356    0    0     0    12   69   94  0  0 100  0  0  0
 1  0      0 1037904  50856 568356    0    0     0     0   41   52  0  0 100  0  0  0
 1  0      0 1037904  50856 568364    0    0     0     0   40   51  0  0 100  0  0  0
 1  0      0 1037904  50856 568364    0    0     0     0  145  177  0  0 100  0  0  0
 1  0      0 1037904  50856 568364    0    0     0     0   84  103  0  0 100  0  0  0
 1  0      0 1037904  50864 568356    0    0     0    16  212  245  0  0 100  0  0  0
 1  0      0 1037904  50864 568364    0    0     0     0  173  183  0  0 100  0  0  0
 0  0      0 1037904  50864 568364    0    0     0     0  240  259  0  0 100  0  0  0
 1  0      0 1037904  50864 568364    0    0     0     0   92   94  0  0 100  0  0  0
 1  0      0 1037904  50864 568364    0    0     0     0  141  148  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1037904  50868 568360    0    0     0     8   45   53  0  0 100  0  0  0
 1  0      0 1037904  50872 568364    0    0     0     4   66   95  0  0 100  0  0  0
 1  0      0 1037904  50872 568364    0    0     0     0   71   70  0  0 100  0  0  0
 1  0      0 1037904  50872 568364    0    0     0     0   76   87  0  0 100  0  0  0
 1  0      0 1037904  50872 568364    0    0     0     0   49   61  0  0 100  0  0  0
 1  0      0 1037904  50872 568364    0    0     0     0   44   60  0  0 100  0  0  0
 0  0      0 1037904  50880 568364    0    0     0    40   96  123  0  0 100  0  0  0
 1  0      0 1037904  50880 568364    0    0     0     0   61   70  0  0 100  0  0  0
 1  0      0 1037904  50880 568364    0    0     0     0   41   52  0  0 100  0  0  0
 2  0      0 1037904  50880 568364    0    0     0     0   85   96  0  0 100  0  0  0
 1  0      0 1037904  50880 568364    0    0     0     0   88   97  0  0 100  0  0  0
 1  0      0 1037904  50888 568364    0    0     0    20   66   83  0  0 100  0  0  0
 1  0      0 1037904  50888 568364    0    0     0     0   46   60  0  0 100  0  0  0
 1  0      0 1037904  50888 568364    0    0     0     0   85   93  0  0 100  0  0  0
 1  0      0 1037904  50888 568364    0    0     0     0   89  101  0  0 100  0  0  0
 1  0      0 1037904  50888 568364    0    0     0     0   61   63  0  0 100  0  0  0
 1  0      0 1037904  50888 568364    0    0     0     8   62   73  0  0 100  0  0  0
 1  0      0 1037904  50896 568364    0    0     0    16   80  113  0  0 100  0  0  0
 0  0      0 1037904  50896 568364    0    0     0     0   91   94  0  0 100  0  0  0
 1  0      0 1037904  50896 568364    0    0     0     0   25   30  0  0 100  0  0  0
 1  0      0 1037904  50896 568364    0    0     0     0  148  154  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037904  50896 568364    0    0     0     0  324  355  0  0 100  0  0  0
 1  0      0 1037520  50904 568356    0    0     0    16  147  175  0  0 100  0  0  0
 1  0      0 1037764  50904 568368    0    0     0     0  180  193  0  0 100  0  0  0
 1  0      0 1037764  50904 568368    0    0     0     0   81   91  0  0 100  0  0  0
 1  0      0 1037764  50904 568368    0    0     0     0   94  125  0  0 100  0  0  0
 1  0      0 1037764  50904 568368    0    0     0     0  112  117  0  0 100  0  0  0
 1  0      0 1037764  50912 568360    0    0     0    12   87  107  0  0 100  0  0  0
 1  0      0 1037764  50912 568368    0    0     0     0  137  149  0  0 100  0  0  0
 1  0      0 1037764  50912 568368    0    0     0     0   75  100  0  0 100  0  0  0
 1  0      0 1037764  50912 568368    0    0     0     0  100  112  0  0 100  0  0  0
 1  0      0 1037764  50912 568368    0    0     0     0   89   99  0  0 100  0  0  0
 1  0      0 1037764  50920 568368    0    0     0    16   81  104  0  0 100  0  0  0
 1  0      0 1037764  50920 568368    0    0     0     0  104  122  0  0 100  0  0  0
 1  0      0 1037764  50920 568368    0    0     0     0   93  102  0  0 100  0  0  0
 1  0      0 1037764  50920 568368    0    0     0     0   43   51  0  0 100  0  0  0
 1  0      0 1037764  50920 568368    0    0     0     0  119  133  0  0 100  0  0  0
 1  0      0 1037764  50920 568368    0    0     0    24  377  414  0  0 100  0  0  0
 1  0      0 1037764  50928 568372    0    0     0    20  171  185  0  0 100  0  0  0
 1  0      0 1037764  50928 568372    0    0     0     0  135  145  0  0 100  0  0  0
 0  0      0 1037764  50928 568372    0    0     0     0  110  124  0  0 100  0  0  0
 1  0      0 1037764  50928 568372    0    0     0     0  108  130  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037764  50928 568372    0    0     0     0   44   57  0  0 100  0  0  0
 1  0      0 1037764  50936 568364    0    0     0    20  176  200  0  0 100  0  0  0
 1  0      0 1037764  50936 568372    0    0     0     0   87   99  0  0 100  0  0  0
 1  0      0 1037764  50936 568372    0    0     0     0   99  105  0  0 100  0  0  0
 1  0      0 1037764  50936 568372    0    0     0     0  124  131  0  0 100  0  0  0
 1  0      0 1037764  50936 568372    0    0     0     0  256  277  0  0 100  0  0  0
 1  0      0 1037764  50944 568372    0    0     0    12  163  196  0  0 100  0  0  0
 1  0      0 1037764  50944 568372    0    0     0     0  142  161  0  0 100  0  0  0
 1  0      0 1037764  50944 568372    0    0     0     0   55   63  0  0 100  0  0  0
 1  0      0 1037764  50944 568372    0    0     0     0   42   50  0  0 100  0  0  0
 1  0      0 1037764  50944 568372    0    0     0     0   43   56  0  0 100  0  0  0
 1  0      0 1037764  50952 568372    0    0     0    16  127  149  0  0 100  0  0  0
 1  0      0 1037764  50952 568372    0    0     0     0   57   68  0  0 100  0  0  0
 1  0      0 1037764  50952 568372    0    0     0     0   94   99  0  0 100  0  0  0
 1  0      0 1037764  50952 568372    0    0     0     0  128  138  0  0 100  0  0  0
 1  0      0 1037764  50952 568372    0    0     0     0   53   65  0  0 100  0  0  0
 1  0      0 1037764  50952 568372    0    0     0     0   93  119  0  0 100  0  0  0
 1  0      0 1037764  50960 568372    0    0     0    12   92  118  0  0 100  0  0  0
 1  0      0 1037764  50960 568372    0    0     0     0   46   50  0  0 100  0  0  0
 0  0      0 1037764  50960 568372    0    0     0     0   45   58  0  0 100  0  0  0
 1  0      0 1037764  50960 568372    0    0     0     0   30   36  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037764  50960 568372    0    0     0     0   73   90  0  0 100  0  0  0
 1  0      0 1037764  50968 568364    0    0     0    12   77   97  0  0 100  0  0  0
 1  0      0 1037764  50968 568376    0    0     0     0   74  100  0  0 100  0  0  0
 1  0      0 1037764  50968 568376    0    0     0     0   49   63  0  0 100  0  0  0
 1  0      0 1037764  50968 568376    0    0     0     0   31   41  0  0 100  0  0  0
 1  0      0 1037764  50968 568376    0    0     0    24   58   76  0  0 100  0  0  0
 1  0      0 1037764  50976 568376    0    0     0    20  112  142  0  0 100  0  0  0
 1  0      0 1037764  50976 568376    0    0     0     0   59   70  0  0 100  0  0  0
 1  0      0 1037764  50976 568376    0    0     0     0   33   43  0  0 100  0  0  0
 0  0      0 1037764  50976 568376    0    0     0     0   61   73  0  0 100  0  0  0
 1  0      0 1037764  50976 568376    0    0     0     0   70   90  0  0 100  0  0  0
 1  0      0 1037764  50984 568376    0    0     0    24  104  125  0  0 100  0  0  0
 1  0      0 1037764  50984 568376    0    0     0     0   47   56  0  0 100  0  0  0
 1  0      0 1037764  50984 568376    0    0     0     0   46   59  0  0 100  0  0  0
 1  0      0 1037764  50984 568376    0    0     0     0   39   57  0  0 100  0  0  0
 1  0      0 1037764  50984 568376    0    0     0     0   49   59  0  0 100  0  0  0
 1  0      0 1037764  50984 568376    0    0     0     0   63   84  0  0 100  0  0  0
 1  0      0 1037764  50992 568368    0    0     0    12   96  122  0  0 100  0  0  0
 1  0      0 1037764  50992 568376    0    0     0     0  122  144  0  0 100  0  0  0
 1  0      0 1037764  50992 568376    0    0     0     0   50   57  0  0 100  0  0  0
 1  0      0 1037764  50992 568376    0    0     0     0   72   83  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037764  50992 568376    0    0     0     0  128  135  0  0 100  0  0  0
 1  0      0 1037764  51000 568368    0    0     0    12  104  127  0  0 100  0  0  0
 1  0      0 1037764  51000 568376    0    0     0     0   59   76  0  0 100  0  0  0
 1  0      0 1037764  51000 568376    0    0     0     0   43   49  0  0 100  0  0  0
 1  0      0 1037764  51000 568376    0    0     0     0  183  191  0  0 100  0  0  0
 1  0      0 1037764  51000 568376    0    0     0     0   77   97  0  0 100  0  0  0
 1  0      0 1037764  51008 568376    0    0     0    16  110  136  0  0 100  0  0  0
 1  0      0 1037764  51008 568376    0    0     0     0   87  100  0  0 100  0  0  0
 1  0      0 1037764  51008 568376    0    0     0     0   71   84  0  0 100  0  0  0
 1  0      0 1037764  51008 568376    0    0     0     0   75   96  0  0 100  0  0  0
 1  0      0 1037764  51008 568376    0    0     0     0   91  106  0  0 100  0  0  0
 1  0      0 1037764  51016 568376    0    0     0    16   71   95  0  0 100  0  0  0
 1  0      0 1037764  51016 568376    0    0     0     0   44   63  0  0 100  0  0  0
 1  0      0 1037764  51016 568376    0    0     0     0   38   57  0  0 100  0  0  0
 1  0      0 1037764  51016 568376    0    0     0     0   87   97  0  0 100  0  0  0
 1  0      0 1037764  51016 568376    0    0     0     0   69   86  0  0 100  0  0  0
 1  0      0 1037764  51016 568376    0    0     0    12   69   90  0  0 100  0  0  0
 1  0      0 1037764  51024 568376    0    0     0    12   76  112  0  0 100  0  0  0
 1  0      0 1037764  51024 568376    0    0     0     0   58   63  0  0 100  0  0  0
 1  0      0 1037764  51024 568376    0    0     0     0   37   53  0  0 100  0  0  0
 1  0      0 1037764  51024 568376    0    0     0     0  116  149  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1037764  51024 568376    0    0     0     0   93  114  0  0 100  0  0  0
 1  0      0 1037764  51032 568368    0    0     0    12   86  109  0  0 100  0  0  0
 1  0      0 1037764  51032 568368    0    0     0     0   38   47  0  0 100  0  0  0
 0  0      0 1037764  51032 568376    0    0     0     0  779  880  0  0 100  0  0  0
 0  0      0 1037764  51032 568380    0    0     0     0 1192 1376  0  1 99  0  0  0
 0  0      0 1037764  51032 568380    0    0     0     0 1033 1141  0  0 100  0  0  0
 0  0      0 1038232  51040 568380    0    0     0    12 1148 1353  0  1 99  0  0  0
 0  0      0 1038232  51040 568380    0    0     0     0 1076 1270  0  0 100  0  0  0
 0  0      0 1038232  51040 568380    0    0     0     0 1200 1389  0  0 100  0  0  0
 0  0      0 1038232  51040 568380    0    0     0     0 1220 1482  0  0 100  0  0  0
 0  0      0 1037980  51040 568508    0    0   128     0 1456 1490  3  1 96  1  0  0
